temp,cost,accept_prob,accepted,is_best,param
1000,8.399370087060989,1.0,True,True,"[0.5496410304654913, 0.7520946173533536, 115.40735720827232, -57.81706941468692, 267.07171564159717, 0.8441669675553768, 0.5748577233767279, 270.58223756903647, -74.04479703782884, 205.7944825438275, 0.47185561853129115, 0.3647294256632188, 224.30695361136708, 23.72050218213737, 240.97384325391474, 0.18686349278548395, 0.2365596222287745, 44.14093256321796, -5.41386373135555, 102.5923611720313]"
1000,8.306158002366189,1.0,True,True,"[0.523469851459156, 0.8404930575713191, 119.08678206839699, -58.86497482482456, 262.6041377789211, 0.8406830168394837, 0.5330973441429376, 274.6143338103448, -77.73402697460939, 210.7221753638873, 0.6434742707449538, 0.3312771418234515, 228.86925355957635, 25.24618475919704, 242.4223865670855, 0.24179374681099158, 0.34959793832480185, 43.81874606860693, -7.737479337892566, 97.14107236042463]"
995.0,8.545178066923938,0.9997598076803853,True,False,"[0.722975931279151, 0.8338593195189264, 121.8831730259711, -65.7821059305494, 262.968144795325, 0.7712744087558078, 0.4093894579230009, 278.9285994501443, -72.714174568617, 215.32078331081658, 0.5694419275029864, 0.40122024840418374, 222.0680501947641, 26.242908852576065, 233.68901157271617, 0.26348433432708385, 0.33569054556895045, 40.89898147412546, -14.311673841757203, 94.42930123781724]"
990.025,8.354759606022968,1.0,True,False,"[0.6512642262229763, 0.7947578345260619, 119.92600787516545, -66.76149957328752, 268.23542544905666, 0.9065127256213432, 0.46793629203997356, 279.2448222474601, -75.81576294229475, 218.55243309841882, 0.6517460863566404, 0.4323578791991925, 232.1539589408938, 35.975039339555025, 235.6438215513094, 0.2525763262694321, 0.2834441270813764, 42.65191678049772, -9.967686818194629, 94.54801790363341]"
985.074875,8.316078019612902,1.0,True,False,"[0.7030534675963879, 0.8720970788217002, 124.40015113699502, -53.65919140323943, 266.63457710218836, 0.912160384160543, 0.5025640207530822, 278.8108258460974, -70.0921765882245, 211.7251051880591, 0.6791957015704355, 0.5118208606965986, 237.20327831040447, 35.20291678243908, 244.39388056163486, 0.3559925225934835, 0.3275268537389317, 40.0647524607055, -0.9543521123366432, 101.0482474570634]"
980.149500625,8.169361076619905,1.0,True,True,"[0.5298414619233973, 0.8345851221255272, 128.85741495497473, -58.51019864059568, 266.77001565258223, 0.882593318967645, 0.5932756109297648, 277.6805837733791, -70.52223631232138, 211.22508715456576, 0.7369359574294011, 0.6358235275612427, 235.5378885138357, 28.098361470533504, 245.4243445866081, 0.2873779880835199, 0.3317893003613291, 44.68421408943789, 1.5866106499391068, 93.09004748795348]"
975.248753121875,8.283993206072326,0.9998824654814092,True,False,"[0.5295934152983862, 0.7796029581402736, 130.72429615000044, -60.227034458090316, 266.79426439812676, 0.8670164594564305, 0.487569868003514, 276.2700862714998, -80.92620185719663, 205.68444364004486, 0.5774265205865863, 0.6133568171417669, 233.9211031846581, 32.887105031182394, 240.99889635042928, 0.260770310566076, 0.36262371796982695, 40.71907328529913, 0.07057362384191768, 96.81312565861202]"
970.3725093562656,8.294845604369213,0.9999888163179529,True,False,"[0.4356662059809961, 0.7145559135451006, 134.23449256051353, -69.55687286860352, 263.9215079046228, 0.8812465257481557, 0.3430298023691517, 279.41829216056084, -81.12140626919292, 208.1674858798123, 0.5930611520411285, 0.5401971011765692, 228.52533619808307, 21.096957914851657, 235.11091869933242, 0.320395844121686, 0.3764861987112021, 41.448172350882516, 1.0478819543524667, 102.33999395950723]"
965.5206468094842,8.308418309987264,0.9999859427032814,True,False,"[0.2996470593251618, 0.8607037531523922, 135.15122876750826, -53.69182868025336, 264.4683116745718, 0.9089512045252709, 0.35265440917147806, 287.0915235764629, -74.91565127530565, 203.61913170552302, 0.5799950029105102, 0.5957376048336419, 230.33801578294262, 33.942185239808296, 233.96622225396862, 0.4002466544403247, 0.37134326720782473, 36.614861513948874, 1.0657810769498868, 104.97585148980069]"
960.6930435754368,8.193006798728865,1.0,True,False,"[0.3390582981467438, 0.6838337588597998, 138.72612859494885, -43.32896264224414, 266.5410068841824, 0.8094672950430772, 0.4274980940851975, 288.38036101928856, -81.50600019652626, 208.0380159891467, 0.633510822284282, 0.6319963320783737, 227.0717169940841, 25.912157219127565, 231.42768814472805, 0.34315119812195377, 0.458752554047807, 41.99723251505935, -1.8567881947188334, 99.48077897016778]"
