lambda,target_acceptance,valid_run_count,pooled_transition_count,pooled_empirical_t0,pooled_paper_t0,mean_run_t0,median_run_t0,sd_run_t0,min_run_t0,p10_run_t0,p90_run_t0,max_run_t0,bootstrap_mean_ci_low,bootstrap_mean_ci_high
15,0.8,10,2000,0.0159127482754,0.0332271542631,0.0210057227601,0.0137592747236,0.0219607562618,0.00417720135674,0.00618038820795,0.0359781734642,0.0781260760022,0.0107601029484,0.0354003061809
15,0.85,10,2000,0.026819713691,0.047487288206,0.0337551973538,0.0224265780849,0.0353381575423,0.0065002183575,0.0103793990701,0.0576631528823,0.12625510547,0.0170476115698,0.0569082723741
15,0.9,10,2000,0.0503423748825,0.0757782125023,0.0604884079746,0.0403953182153,0.0638818398605,0.0111683811982,0.0193022148311,0.102569642721,0.22904500828,0.030656184384,0.103244624819
15,0.95,10,2000,0.126836504228,0.160274742232,0.14351954531,0.0956838647041,0.154008905727,0.0251955375853,0.0474343593686,0.240337707056,0.553533178439,0.073766122086,0.243743710264
15,0.99,10,2000,0.789408321227,0.835097431246,0.817346478402,0.543594534317,0.891132590078,0.137441363427,0.277454656091,1.35147957909,3.20612626879,0.417267052122,1.41514962828
