temp,cost,accept_prob,accepted,is_best,param
1000,5.832396878623343,1.0,True,True,"[0.6895223132348504, 0.250934435654098, 178.20932795095183, 32.435223060866726, 145.27132230759372, 0.8904341873013316, 0.19681050114614299, 283.1450100352176, 11.968296170836435, 101.60168378229345, 0.7505119622567838, 0.6234873546160153, 74.77306050734734, 43.58014966795112, 64.36663362176725, 0.3158547486491622, 0.36922311179761624, 175.4714949979122, 58.33407597863638, 288.2202806418395]"
1000,8.205686842433344,0.9976295240622094,True,False,"[0.7406342936423177, 0.31750654550067664, 177.75585530833857, 31.683165520585902, 147.28874945925224, 0.9014496778930752, 0.18920669608445445, 283.3740190418518, 12.663893950440029, 102.64660712583569, 0.7606799240269725, 0.7263449774589668, 82.51802449804106, 46.34230381186255, 57.73543289284548, 0.25149900430522065, 0.41646272344879925, 175.06987206036302, 54.559566533610095, 287.555571600053]"
995.0,5.922993592609803,1.0,True,False,"[0.7078569359975415, 0.25007335625442995, 172.3772217513111, 25.10767537475934, 145.86699304232533, 0.8723068294930151, 0.17310074558169636, 285.2600023466743, 11.753879914543962, 105.74645650401169, 0.6266674783962893, 0.7637212193487555, 84.32248529797849, 45.18832860250689, 50.033590365499194, 0.11990784401971483, 0.41951004919321355, 177.3096405325856, 47.23002532522294, 289.6896484319363]"
990.025,5.966949389006977,0.9999556023124445,True,False,"[0.6637230797476301, 0.17127596078153912, 180.59949759228346, 21.688308210560812, 138.83047955170844, 0.9069953408669871, 0.2074840436292587, 282.7803956883081, 9.366943844070029, 105.01657926250897, 0.6667850643240182, 0.5998576968156999, 82.97765698080875, 50.09216846878216, 59.67831096046407, 0.10805211882810473, 0.42832583441843597, 171.07173377996727, 50.49153380814543, 281.49218066078765]"
985.074875,5.847086187369945,1.0,True,False,"[0.582829630334503, 0.1988636449271879, 181.05117751366592, 21.57869026875342, 141.2411104384767, 0.8410184590323884, 0.3176851853708364, 290.07994199990185, 10.457058905874199, 100.10858761968336, 0.5672282470586497, 0.6172723825831862, 84.58588766866, 52.66365461104503, 63.363622108018085, 0.18908980824250932, 0.4322509096830913, 172.2936055663423, 52.92265404650551, 280.40377698324636]"
980.149500625,5.652735721084957,1.0,True,True,"[0.6066708271601374, 0.24023147728632246, 180.68684963976483, 21.146599769653847, 139.8287424135617, 0.7571924877580507, 0.40561271220864176, 291.89114493621406, 0.9198907380379087, 102.97192690813827, 0.5532406530140737, 0.7828027991291993, 87.40228257943933, 54.777739088479535, 64.83244120732034, 0.20675888543579085, 0.3698368198678862, 166.8025417863424, 60.19362220154384, 273.18760994408336]"
975.248753121875,5.74345389880033,0.9999069837739055,True,False,"[0.6191774133351972, 0.15342613088847895, 174.48618051197658, 10.081640066282194, 139.3124703131853, 0.7328455995547939, 0.4677808247102386, 290.64833784364725, 6.8777018585147935, 104.56457168142438, 0.7219743423925569, 0.7595455252511714, 92.23503716146767, 46.650360413038754, 62.4762229678101, 0.18963867557668024, 0.5072396842147393, 163.8092204816523, 71.21146445819166, 272.87099095358604]"
970.3725093562656,5.6977928375598665,1.0,True,False,"[0.7791609281986409, 0.15789864259461187, 169.14534018620105, 17.431909826226867, 137.919732237971, 0.6918164341848665, 0.41626157725143653, 289.4621411729017, 9.076521399668154, 102.72438293149413, 0.7788907972168695, 0.617012207617673, 95.86869384720362, 45.16782649226893, 61.42418244685203, 0.12107514235170952, 0.4327065786033256, 156.2434998341301, 73.79528782869427, 275.671399361363]"
965.5206468094842,5.678279146533962,1.0,True,False,"[0.8702560479672378, 0.31332702138434, 166.57180262174126, 24.104610616344694, 131.40155254572076, 0.6764053208551423, 0.44454858031649885, 294.57097047222214, 4.49945505020227, 105.47584071719304, 0.6948568417091314, 0.6886049390161939, 95.8963813918409, 45.22903815981875, 63.898055767192346, 0.1693632876899182, 0.34681518540404255, 159.94149961806798, 75.55255137390076, 270.59095614417146]"
960.6930435754368,6.120410426433307,0.9995398847120078,True,False,"[0.8405076468751518, 0.37366713826313364, 165.31940340778925, 26.58077756745051, 130.134678492815, 0.6792484146768447, 0.38920124918859084, 285.90589213088646, -0.11032864483365934, 104.849986006271, 0.8102797427641871, 0.7803583802548025, 94.01650220905024, 46.512713639998445, 67.29180107437188, 0.13727788848533415, 0.4499859887008988, 161.8088621892407, 71.22798364063036, 271.5754406711915]"
955.8895783575597,5.816248806350487,1.0,True,False,"[0.8709331318469661, 0.36735040456139, 165.8518895693627, 28.044321484255327, 127.20316861147964, 0.6966675104517727, 0.2634451629645781, 292.4948309564951, -3.1766499686801533, 102.26995391936853, 0.7547218980484879, 0.6474609242219753, 93.16515669884667, 46.23943432159496, 65.58223591395668, 0.10657401432282311, 0.4630336831242897, 161.51537915970835, 74.44336675379569, 275.8631488724673]"
951.1101304657719,5.839827540454466,0.9999752095566182,True,False,"[0.8952728814039229, 0.3522246984983495, 165.04335667417288, 21.46377519792113, 119.48298199040997, 0.6419881422914547, 0.21252518381266694, 285.0724222828932, -4.797290874514276, 97.3553508569313, 0.7279782890731193, 0.6086073224757781, 93.81819786704817, 44.363747526170755, 65.13421360243821, 0.11982316577324417, 0.49835255554407176, 155.77999575747157, 74.07676599541165, 276.43539933231517]"
946.354579813443,5.790880864219193,1.0,True,False,"[0.8954990504469393, 0.3149345651612502, 169.10842071731304, 29.2302578927464, 123.68620065394249, 0.7176210390899425, 0.1971665066644627, 283.47838710753956, -7.2142133218253, 97.63034430709304, 0.5769052824091165, 0.6287828412469619, 92.12607088581237, 47.225186556824156, 63.64579796196629, 0.11227400912156127, 0.6117042342363651, 154.26895464517278, 67.97980928121599, 280.41896755985977]"
941.6228069143758,5.738355095437262,1.0,True,False,"[0.7896840960166582, 0.30423538805087785, 165.18649054389348, 22.964952587043882, 123.71136194453322, 0.633409412560228, 0.19796800080152074, 283.56408855057293, -4.966818116663548, 101.95565850222604, 0.6081862915259627, 0.6325532670653137, 84.41990344216687, 47.65760487469836, 67.29634990218487, 0.12805031187964788, 0.6116211738023201, 157.64558240329401, 65.91960281377352, 271.73741708223343]"
936.914692879804,6.012555799811199,0.9997073793525635,True,False,"[0.7488311815836173, 0.3150208463958405, 160.8966597991489, 16.52300372445098, 124.6767543962832, 0.5985990431919888, 0.15127191801572626, 287.4545375798514, -7.357667006598877, 101.2762899191423, 0.7270072028928705, 0.6712779627791234, 81.05330168789285, 51.54777143450651, 67.29976020070605, 0.2362561980301056, 0.8307586715966235, 156.36525141525593, 63.57548915902879, 273.2610521039565]"
932.2301194154049,5.925112636618562,1.0,True,False,"[0.7287747548418662, 0.3700266666867324, 166.60818718427274, 27.747136105920756, 123.16425871812484, 0.4784242086390832, 0.10906070444255613, 283.24404657352903, -11.74530215181133, 108.62512179384177, 0.7984166581226657, 0.7113328677399031, 81.36549869047096, 50.580784924750745, 75.4184341810246, 0.29436596321387587, 0.683638657887139, 158.1280981482413, 52.68569574975796, 275.85314942233697]"
927.5689688183279,5.647345939331235,1.0,True,True,"[0.7981920934556933, 0.37824942058266214, 162.879517181846, 33.30885934124739, 125.4035668815353, 0.6021495704585799, 0.1918880489765823, 283.4443525951569, -5.589778727537796, 106.29198255458415, 0.6637285570148561, 0.7190527436170369, 80.50757391652243, 38.937479693606676, 71.2674372177159, 0.3850713186174973, 0.7400593185557991, 152.9777487798031, 57.27449732579792, 281.43783459368586]"
922.9311239742362,5.559313341945135,1.0,True,True,"[0.667675231232343, 0.5218002152754808, 162.28540240748987, 29.736902004190803, 128.42865285316591, 0.5696338825976146, 0.27761199020550026, 283.5059201939121, -4.052266773855822, 103.66353879865012, 0.6704161693306774, 0.8056950451091374, 80.09105949994147, 36.34283225368378, 74.85028716341628, 0.3615013043201621, 0.5817627506046125, 155.79537795076547, 49.029000964724915, 285.04389885986717]"
918.316468354365,5.593023991842273,0.9999632914879335,True,False,"[0.8164592526534478, 0.6112809917579646, 166.54794874226494, 29.458784738740547, 126.06961780192121, 0.4588662695736754, 0.24274685484165684, 281.87578964530337, 3.4407616751893446, 100.19874393645787, 0.5296346208051649, 0.6999745269247606, 80.24832203687127, 33.0832697072561, 74.36266984327908, 0.36322379907321867, 0.5527196662921466, 159.38297845517374, 50.239436234217216, 282.8530191050963]"
913.7248860125932,5.510110374287641,1.0,True,True,"[0.9064770062165294, 0.5614325282375864, 168.97008873766245, 31.34082024729653, 127.82759681448728, 0.471835902866485, 0.2331026134751258, 277.01255747463694, 2.267536611340502, 105.39174669696534, 0.5077263762900097, 0.7688872044861834, 79.59442603733287, 39.05992388044661, 79.89229705440849, 0.4529398553528927, 0.43320940031245925, 161.30525302774225, 60.71212456545221, 286.36177382893743]"
