temp,cost,accept_prob,random_number,accepted,is_best,param
1000,129.24840921016332,1.0,0.0,True,True,"[0.279163310421771, 0.7736360529074134, 103.97885893270654, 23.916335164901326, 257.3946727807948, 0.6624147517436043, 0.46917201788668617, 95.51193965105334, 37.49124914418252, 210.87670615848202]"
1000,129.2633977692772,0.999985011553214,0.07665402318279524,True,False,"[0.21935124108471263, 0.6853553962118236, 101.53185765275782, -13.923587754418826, 256.4450743319698, 0.7225144136724072, 0.38574937786874974, 95.0456506815966, 35.84616872529051, 209.31965307925984]"
950.0,129.40679887977933,0.9998490628547866,0.6405700019774223,True,False,"[0.12363178583265226, 0.8098441473642678, 95.18491695208483, -5.2145595967500356, 255.3743383104032, 0.7033647557244533, 0.24933107013686184, 101.61166817515759, 37.67687061959152, 208.07462490521533]"
902.5,129.42621423003553,0.9999784873779303,0.8174461288374592,True,False,"[0.19292983153249504, 0.7723063624795524, 97.76593082891408, -5.677946157793528, 264.79961832879144, 0.8412224317463038, 0.27171476031204095, 103.74703631764605, 38.920027460813614, 212.08658012622402]"
857.375,129.45908034519965,0.9999616673156589,0.5626608123298987,True,False,"[0.17702722249951283, 0.785471763974362, 100.62875271191716, -0.056246392843545934, 264.01794282592, 0.8310480053537107, 0.26211002536381367, 109.5580489217185, 36.736805101516346, 201.1731877749952]"
814.5062499999999,129.5515580320274,0.9998864681061135,0.07423767267569459,True,False,"[0.14274789548867814, 0.6273349142264832, 109.2304208317665, 3.272388449454947, 271.33422805094193, 0.5914967077760299, 0.3472732858822009, 106.9480777701704, 32.47569985734815, 205.0912685969969]"
773.7809374999998,129.49434611320228,1.0,0.026602979982792152,True,False,"[0.14477248150038105, 0.6009487722962169, 111.67204760570507, -14.380915858268974, 265.95572153814794, 0.5179691360926818, 0.1420015169619674, 105.4405397311023, 15.733395350781628, 199.68288008248518]"
735.0918906249998,129.54218243162384,0.9999349268267216,0.04809608733209292,True,False,"[0.18459111364441988, 0.6186312074787159, 104.51595680645443, -9.810629106495018, 277.68123695697517, 0.45705601603270135, 0.2643328704764344, 106.21346126786516, 16.126243837286033, 207.90083528450188]"
698.3372960937497,129.54416044031103,0.9999971675494106,0.5152517743295859,True,False,"[0.2629035986368068, 0.691513518570744, 110.2521946208235, -3.6700362693719075, 283.5951799498304, 0.34423639864067557, 0.39422219587391516, 106.33585413786096, 31.802400085375332, 210.29751018847054]"
663.4204312890622,129.58272077096598,0.9999418781692166,0.029781667378610988,True,False,"[0.27594719131854867, 0.5166437353797657, 117.42027580593273, -1.272196683252004, 288.14294548728657, 0.3517535098049617, 0.3637833603722799, 103.0130646958657, 37.12144192643269, 219.03156435954207]"
630.2494097246091,129.67764981862558,0.9998493899440746,0.4284770247722022,True,False,"[0.39105324222187604, 0.48317332695956616, 117.7104054633628, -14.248952522184105, 291.69127499472864, 0.2022771495617701, 0.2507196844194946, 105.98118861776324, 42.56111958022081, 221.77130445329936]"
598.7369392383787,129.42149465785428,1.0,0.1536475340022847,True,False,"[0.3978199621455168, 0.5737252055609227, 116.18882001225413, -16.480780194847583, 287.75688033938377, 0.24247588564645775, 0.27110798464023267, 106.78906831890743, 73.96024175994857, 221.31296154207413]"
568.8000922764597,129.13853083962096,1.0,0.3612099295243152,True,True,"[0.18261702924868378, 0.6215633403284854, 124.07287451140648, -11.612606374818583, 290.9113325471003, 0.3374260723308596, 0.35425637124452036, 106.74028723795398, 100.5212857681011, 219.09736352297477]"
540.3600876626367,129.01988415225276,1.0,0.8062503170725214,True,True,"[0.16936217191241598, 0.6133877565980438, 125.30783291806102, -9.037183716033974, 289.43939784496774, 0.3507457180682499, 0.3368048411764917, 102.92812617562504, 106.00391475549065, 225.0261187967663]"
513.3420832795049,129.06870837849445,0.9999048940150106,0.9925525266784894,True,False,"[0.2546367518055448, 0.514587790561009, 123.02630558782015, -16.943165353426366, 290.791090612887, 0.3199244517994023, 0.30032034854889433, 102.96759147489627, 101.35479505768555, 229.76300632222478]"
487.6749791155296,129.2916719777276,0.9995429073719433,0.7800643511992121,True,False,"[0.2748641063873672, 0.42590002515917913, 121.92192906351187, -23.478942063845494, 289.1922896155563, 0.34943895315999685, 0.19789318578917478, 103.25702810667097, 88.98755976944923, 233.11139281103692]"
463.29123015975307,129.22783706027255,1.0,0.9273281974041274,True,False,"[0.3547174318742915, 0.5980344799761944, 115.95049402209489, -13.612210585459177, 296.94629048380614, 0.3200715780995693, 0.335986316706098, 101.6831137333326, 96.23442968531718, 241.41897511442178]"
440.1266686517654,129.411503190382,0.9995827841702963,0.5749416591803495,True,False,"[0.5457886570628523, 0.643501412840033, 119.30423337059895, -22.35386650243214, 289.46264080427807, 0.2839148580541373, 0.5340355269429776, 98.72609504435742, 87.80475785468498, 244.2345968203742]"
418.1203352191771,129.50149952611454,0.9997847828880119,0.393370653923083,True,False,"[0.6454440515720908, 0.6923543249670269, 119.88294349819412, -38.614492601782196, 294.19095757097404, 0.15736025448111496, 0.3951192127928982, 99.66005385649679, 83.67460023536445, 245.54136741141295]"
397.2143184582182,129.48304403961552,1.0,0.9219378130783242,True,False,"[0.6488675885650744, 0.727864599274688, 112.94775536634693, -27.776299456865758, 294.7857607226975, 0.3105107952092939, 0.3423993207583369, 99.12635295457767, 79.1033586168077, 252.81809930767267]"
377.3536025353073,129.39327046622404,1.0,0.98990357970972,True,False,"[0.6821756701460896, 0.8462641675124137, 109.17216762931749, -38.06795498967309, 286.4173535497685, 0.5261357266602351, 0.27367872733139037, 96.73747849753414, 72.55047075432118, 251.66097133135634]"
358.4859224085419,129.35469280932804,1.0,0.5276718314096933,True,False,"[0.7833209969250615, 0.7262314385406154, 107.92087589141457, -40.34170241711686, 288.08259425943913, 0.42530241705512883, 0.20891881214070973, 94.92763508837662, 74.43293412074341, 245.6863709375848]"
340.5616262881148,129.46731275029975,0.9996693657968144,0.6212044469555915,True,False,"[0.7033937186723648, 0.763655557001032, 106.90590255889029, -35.43863351736296, 286.80238575726366, 0.34653798301836913, 0.13446869283510124, 104.38055303731906, 74.01893875503978, 249.50967899296074]"
323.533544973709,129.59134715618936,0.9996166993034873,0.6608787707567251,True,False,"[0.5470767529107476, 0.9108761984730704, 111.3217389849109, -34.69306135269265, 296.48365778731835, 0.28054745008412607, 0.1287788645476441, 105.10623155127911, 52.9047130281888, 257.3793970285436]"
307.35686772502356,129.6679564567583,0.9997507791043678,0.10939881980757948,True,False,"[0.5709608717298491, 0.7894754670948789, 115.9476621792684, -47.198560049594626, 299.93489453074073, 0.269168504275122, 0.11336991143999295, 104.62022398881427, 54.753750398199216, 255.37775973290033]"
291.98902433877237,129.75630622923285,0.9996974666851747,0.9508527867644899,True,False,"[0.5603875148023274, 0.7915591039464344, 118.70438226631595, -59.27743257242337, 302.9888547515643, 0.2331542386576076, 0.20548290534224659, 107.7021879011144, 47.30704543144209, 255.58130502829897]"
277.38957312183373,129.6634388646448,1.0,0.8819537760176788,True,False,"[0.43406847178773, 0.846334234397331, 119.66721812994793, -60.93534721466494, 302.59123952513914, 0.30430856353510694, 0.2829018397843573, 108.18989698478794, 63.35567972685379, 254.82131603839275]"
