temp,cost,accept_prob,random_number,accepted,is_best,param
1000,131.1168697965568,1.0,0.0,True,True,"[0.25121678058773017, 0.6277591453769442, 214.97085356280826, 18.811798549297933, 296.1402690223026, 0.288478404680433, 0.16583575950147614, 249.74759682562, -42.39806435996773, 263.7997284506094]"
1000,131.13141101836055,0.9999854588839193,0.2609957981598571,True,False,"[0.4593669770849478, 0.6616577942528965, 218.65660153093285, 28.077392986541994, 295.10482935987613, 0.22358304552881558, 0.4049135922678908, 257.20533365926946, -34.40341956453881, 261.0498813144065]"
990.0,131.14636029484177,0.9999848998347347,0.14411213634934028,True,False,"[0.40665975058716014, 0.4874759986842655, 216.39433693411746, 28.076605474054197, 287.5770214787096, 0.22499009098835884, 0.3422266227990789, 262.09178254502837, -37.48490177621047, 264.4881696631503]"
980.1,130.91675017896898,1.0,0.7646044827408699,True,True,"[0.32412876937047413, 0.6358868445382666, 222.2303008910044, 47.73959390979758, 289.50523583801987, 0.2793749020111728, 0.1625800834891401, 261.65312631113744, -41.001537676804574, 255.85459342835682]"
970.299,130.9167134729651,1.0,0.9265666665494513,True,True,"[0.29955023604021935, 0.6775472936389432, 223.979098423165, 58.22696635099071, 291.2760902006295, 0.265999211856037, 0.09716657454874374, 262.05535240977474, -38.58985404968775, 255.43119348260447]"
960.59601,130.8668160781246,1.0,0.260564205878947,True,True,"[0.5032390124925116, 0.8421044644374127, 223.18287576357045, 66.26082782716571, 291.9002327993634, 0.233933631797429, 0.12657119463817687, 259.0350100524127, -33.14238924439735, 257.62943943258284]"
950.9900498999999,131.02605026881025,0.9998325735791609,0.6910083207461064,True,False,"[0.5694367451358013, 0.8156297627852925, 218.5691403628365, 71.7564860386251, 295.5197525226816, 0.18317209040149962, 0.15893897803831436, 254.63232985223308, -52.009842387224154, 260.1252067728256]"
941.480149401,130.799920045814,1.0,0.33361229950718885,True,True,"[0.4931711093428285, 0.797236156829462, 210.16977975675184, 59.75705989816558, 296.0827742381249, 0.4352371632269467, 0.22228492866729876, 260.28963281109384, -58.2365209540937, 252.43851147278681]"
932.0653479069899,130.84516982368817,0.9999514533185858,0.1002359239051066,True,False,"[0.4990128448904211, 0.6014979859371089, 210.07360191529125, 58.094217406353444, 290.2199589550914, 0.4520429160993778, 0.18337608671267458, 262.79898895780644, -43.033923513532095, 251.27388913623255]"
922.74469442792,130.88015620360835,0.9999620851608514,0.06014031936017117,True,False,"[0.5049886774621551, 0.6410643057398687, 210.63035751322568, 59.86006643649316, 294.0040708676574, 0.6529057173887247, 0.20313888493288015, 264.6613909620076, -31.932898719517564, 255.38753301416568]"
913.5172474836407,130.87679867271788,1.0,0.2937225452130827,True,False,"[0.6265088471571685, 0.8055360167763486, 208.22453990049192, 36.162214278148156, 292.5758269907282, 0.7352398009134431, 0.17926476314593948, 264.2372466459625, -40.096354217522986, 256.23515125237947]"
904.3820750088043,130.79681173517943,1.0,0.5686204437124474,True,True,"[0.6531158656033664, 0.8420716585590553, 212.5106749949576, 43.037330493833274, 277.83092780335477, 0.7212010052788577, 0.31154265088514477, 251.9622496270892, -35.998522432309414, 251.71815949122185]"
895.3382542587163,130.87626688158377,0.9999112607770524,0.1738047247508584,True,False,"[0.7802044288264625, 0.8636317748064525, 213.24192546399328, 58.18113948309381, 282.6422518880224, 0.7042437846644359, 0.3206547180030631, 261.1678813551707, -49.40931852393721, 249.66464793185511]"
886.3848717161292,130.90445179781005,0.9999682029003157,0.11203009915627749,True,False,"[0.863882638220026, 0.7198381609851177, 210.34398904570028, 55.92351665474212, 281.5746205291717, 0.7436651685959765, 0.10330853848470911, 270.8277228364665, -40.712259924922144, 243.54421781546617]"
877.5210229989679,130.81533176840716,1.0,0.843497403090715,True,False,"[0.7163854167349416, 0.7524380064885267, 207.02416298278396, 53.621213440991404, 288.05165195638153, 0.8070299273922631, 0.28426702220991884, 258.25982164240145, -39.68593263884529, 244.79208622802227]"
868.7458127689781,130.83445361999168,0.9999779893717349,0.47875026880130267,True,False,"[0.6171213465552733, 0.7320165622181035, 207.40080305476835, 47.10771232468692, 292.74543273835246, 0.6788051214491502, 0.24498473095897227, 263.9714101881935, -48.28896333830531, 247.47134315328736]"
860.0583546412884,130.8226848577236,1.0,0.8467837031580482,True,False,"[0.5736541109062965, 0.736311192076502, 203.71077038274046, 42.22365913922642, 290.5818957299329, 0.7633686408207522, 0.3967496558157875, 264.41745993980055, -54.626767280365556, 252.60262131895618]"
851.4577710948755,130.92266617787402,0.9998825831959188,0.377492987859115,True,False,"[0.4443253396677773, 0.6987192941570418, 202.1488056111132, 35.60009302726915, 294.29128828012256, 0.5589174511137792, 0.3512634214143694, 273.40567012437185, -48.183608262643254, 253.39235479628712]"
