run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
21,1,track_csv/jasminum-remote/results/21.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/21.csv,ok,,2758,2757,100,51,49,1,0.117776176093,0.0937313282109,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
22,1.25,track_csv/jasminum-remote/results/22.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/22.csv,ok,,2758,2757,100,49,51,1,0.0388561843699,0.033130969444,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
23,1.5,track_csv/jasminum-remote/results/23.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/23.csv,ok,,2758,2757,100,51,49,1,0.0731065840195,0.0513036790342,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
24,1.75,track_csv/jasminum-remote/results/24.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/24.csv,ok,,2758,2757,100,55,45,1,0.110441112542,0.0685498679429,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
25,2,track_csv/jasminum-remote/results/25.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/25.csv,ok,,2758,2757,100,56,44,1,0.0552802089171,0.0435249042136,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
26,1,track_csv/jasminum-remote/results/26.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/26.csv,ok,,2758,2757,100,49,51,1,0.0674691411715,0.0580947817992,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
27,1.25,track_csv/jasminum-remote/results/27.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/27.csv,ok,,2758,2757,100,55,45,1,0.0768843211772,0.0537832998536,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
28,1.5,track_csv/jasminum-remote/results/28.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/28.csv,ok,,2758,2757,100,54,46,1,0.0568801658393,0.0461052802612,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
29,1.75,track_csv/jasminum-remote/results/29.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/29.csv,ok,,2758,2757,100,54,46,1,0.065869416452,0.0521479532867,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
30,2,track_csv/jasminum-remote/results/30.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/30.csv,ok,,2758,2757,100,49,51,1,0.050925509048,0.0400705480013,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
31,1,track_csv/jasminum-remote/results/31.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/31.csv,ok,,2758,2757,100,48,52,1,0.112347687067,0.104420564052,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
32,1.25,track_csv/jasminum-remote/results/32.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/32.csv,ok,,2758,2757,100,45,55,1,0.0496771767541,0.0338933269693,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
33,1.5,track_csv/jasminum-remote/results/33.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/33.csv,ok,,2758,2757,100,46,54,1,0.0380754344457,0.0275541255297,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
34,1.75,track_csv/jasminum-remote/results/34.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/34.csv,ok,,2758,2757,100,49,51,1,0.0932424154129,0.0639117788748,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
35,2,track_csv/jasminum-remote/results/35.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/35.csv,ok,,2758,2757,100,51,49,1,0.102581160741,0.083487164304,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
36,1,track_csv/jasminum-remote/results/36.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/36.csv,ok,,2758,2757,100,51,49,1,0.0699017126604,0.0538664623582,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
37,1.25,track_csv/jasminum-remote/results/37.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/37.csv,ok,,2758,2757,100,50,50,1,0.040263490206,0.029952189953,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
38,1.5,track_csv/jasminum-remote/results/38.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/38.csv,ok,,2758,2757,100,48,52,1,0.0564230805296,0.0500913911545,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
39,1.75,track_csv/jasminum-remote/results/39.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/39.csv,ok,,2758,2757,100,51,49,1,0.100164282702,0.0734789557349,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
40,2,track_csv/jasminum-remote/results/40.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/40.csv,ok,,2758,2757,100,47,53,1,0.0811063183453,0.0723879288388,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
41,1,track_csv/jasminum-remote/results/41.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/41.csv,ok,,2758,2757,100,47,53,1,0.0653291063459,0.0379461102585,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
42,1.25,track_csv/jasminum-remote/results/42.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/42.csv,ok,,2758,2757,100,51,49,1,0.0817662739193,0.0842741671827,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
43,1.5,track_csv/jasminum-remote/results/43.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/43.csv,ok,,2758,2757,100,51,49,1,0.0448074456616,0.0346454762379,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
44,1.75,track_csv/jasminum-remote/results/44.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/44.csv,ok,,2758,2757,100,49,51,1,0.0488796843934,0.039911375752,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
