lambda,target_acceptance,valid_run_count,pooled_transition_count,pooled_empirical_t0,pooled_paper_t0,mean_run_t0,median_run_t0,sd_run_t0,min_run_t0,p10_run_t0,p90_run_t0,max_run_t0,bootstrap_mean_ci_low,bootstrap_mean_ci_high
1,0.8,10,1000,0.111503573632,0.14142297784,0.116377969901,0.108187137576,0.0501308174759,0.0497119004783,0.0627610275522,0.195147529546,0.209752442643,0.0885197492639,0.14694120553
1,0.85,10,1000,0.170954739808,0.201981184492,0.175919485392,0.165392542382,0.0728244961907,0.0760102813569,0.0998282895619,0.292601048507,0.308656368375,0.136116770002,0.219578124742
1,0.9,10,1000,0.290022302293,0.322140867905,0.295043936505,0.280471431489,0.117643212429,0.128636966574,0.174413355833,0.486254719939,0.504747462516,0.229256390211,0.36745772628
1,0.95,10,1000,0.647861425768,0.681047508849,0.652946408734,0.627605443586,0.251276250632,0.286397072146,0.398592768419,1.06503633562,1.09016643502,0.518365167759,0.805050319382
1,0.99,10,1000,3.51347795162,3.54748994677,3.51864983397,3.38335982402,1.31874118367,1.54759875388,2.19219664616,5.68827116088,5.76471337369,2.77961628574,4.31625303418
1.25,0.8,10,1000,0.0826203386175,0.103720781514,0.0843762443686,0.0857471489881,0.0240598947369,0.05933463661,0.0606050002947,0.10596337486,0.133680143358,0.0708723752205,0.0995963831929
1.25,0.85,10,1000,0.126770851772,0.148640768933,0.128715858727,0.130558415622,0.0356667963653,0.0917660057424,0.0936585567419,0.159952090583,0.201759670763,0.109251075651,0.151152049667
1.25,0.9,10,1000,0.215040951983,0.23770564048,0.217250588958,0.219659359037,0.0589654689517,0.157155221945,0.159325522151,0.269554177177,0.336436628975,0.184872093936,0.253156133176
1.25,0.95,10,1000,0.480120962341,0.503638041021,0.482714814722,0.485960034256,0.129466979599,0.354282298537,0.355517603892,0.61864806645,0.73808066698,0.409789666881,0.559649990784
1.25,0.99,10,1000,2.60300779575,2.62726149986,2.60601800898,2.59973563319,0.696810815971,1.92102845051,1.93282252596,3.42853541101,3.94403178402,2.22438479484,3.03525225031
1.5,0.8,10,1000,0.0863459341943,0.113964349637,0.0896973365198,0.0791495068814,0.0262262644662,0.0650207371157,0.0656914151722,0.112080447804,0.149025558517,0.0756697650259,0.106264507903
1.5,0.85,10,1000,0.134417677203,0.163639124512,0.138682393249,0.120734857595,0.0429708990364,0.0986879774238,0.0996042372553,0.176517525365,0.237574640743,0.11569375535,0.165548447568
1.5,0.9,10,1000,0.231344300735,0.262089066237,0.236520803886,0.206122541512,0.0762590816552,0.165729415001,0.167677932288,0.305720316917,0.41255098756,0.197399974268,0.285987535327
1.5,0.95,10,1000,0.523824493362,0.555981587303,0.529889619616,0.466978671359,0.175742314136,0.366253587477,0.372476149189,0.693369752573,0.934285552818,0.437542341059,0.642472168378
1.5,0.99,10,1000,2.86952141742,2.90270993834,2.87626204251,2.55463787732,0.970243161829,1.96829739702,2.01283526824,3.79306176158,5.09865410816,2.37142117941,3.48295418119
1.75,0.8,10,1000,0.0999014037128,0.13428928377,0.104795778053,0.097361348822,0.0386941638098,0.0424990739673,0.0660742493462,0.148384545033,0.150700723583,0.081751599357,0.126998361323
1.75,0.85,10,1000,0.157335320555,0.193357945678,0.162936655417,0.154862858609,0.0594144252284,0.0676927045803,0.104860834359,0.228978712035,0.230128225558,0.128947145579,0.197309204972
1.75,0.9,10,1000,0.272839152325,0.310352122814,0.279097323126,0.269799033341,0.100895972074,0.118525906424,0.18399886298,0.391590032708,0.393514410541,0.220487287445,0.336892014822
1.75,0.95,10,1000,0.620649176135,0.659496531122,0.627521430698,0.613500671886,0.225200268486,0.271747894097,0.419854856699,0.882261778007,0.891737954065,0.493437272189,0.754873589943
1.75,0.99,10,1000,3.40731946949,3.44711672474,3.4146562075,3.3595877472,1.21908322353,1.49919911704,2.26472724098,4.81314941778,4.86859643935,2.69748128522,4.12525011463
2,0.8,20,2000,0.100342274447,0.14768017344,0.104837750881,0.0923825887786,0.0361771965784,0.0605088547675,0.0709531866239,0.157761727649,0.179877221272,0.09000288401,0.121419745414
2,0.85,20,2000,0.155504023464,0.211638344948,0.160995613413,0.141439679077,0.056305434412,0.0932989744705,0.106398195526,0.242446654245,0.275449178983,0.137292247561,0.184996552693
2,0.9,20,2000,0.267103573115,0.338451077029,0.274036225246,0.239152975127,0.0980715226699,0.155271754191,0.175779629144,0.413251881521,0.471528618864,0.234471920157,0.317737841437
2,0.95,20,2000,0.610275060741,0.717092102115,0.621555365445,0.543171638076,0.233564733661,0.33940316829,0.382842400904,0.922342291894,1.19713547574,0.529125933618,0.72275793415
2,0.99,20,2000,3.54708348411,3.74075887501,3.60165232764,3.3102649065,1.51680452483,1.8110399402,2.03566613178,4.99890303026,7.97795128903,3.01299567248,4.2702483968
2.25,0.8,10,1000,0.096736144315,0.131182761402,0.10698242434,0.0735382008942,0.0659632035124,0.0577974890272,0.0596103290451,0.171617751068,0.270426429783,0.0745602851121,0.152221074821
2.25,0.85,10,1000,0.15205611604,0.188156532899,0.163855942975,0.11511536746,0.0988772120759,0.0872819235829,0.0899066191239,0.258623260968,0.407900492583,0.11480063286,0.227996883984
2.25,0.9,10,1000,0.263358746224,0.301099776304,0.276741694648,0.198534777054,0.164561112024,0.145720950552,0.150117134226,0.431164804441,0.681656598001,0.195136890346,0.384278652568
2.25,0.95,10,1000,0.598841419842,0.638297810788,0.61390900594,0.446831156558,0.361416599283,0.320125898835,0.33002989925,0.94629452241,1.5012701365,0.430921841673,0.847987866324
2.25,0.99,10,1000,3.29001404902,3.3309317819,3.30653181433,2.4271538521,1.93575801036,1.71248613843,1.76692240592,5.05955189724,8.05378153256,2.3397976224,4.55189239291
2.5,0.8,10,1000,0.138655199182,0.173871173449,0.146565475152,0.113266970329,0.0693573833319,0.0627095636173,0.100279349489,0.243986161489,0.25361941861,0.109183401225,0.188104541881
2.5,0.85,10,1000,0.211951518163,0.24876233699,0.22059773256,0.172706380737,0.101881074359,0.0964813098737,0.151357995744,0.365646675794,0.380477393123,0.162042204325,0.283415890951
2.5,0.9,10,1000,0.358865750098,0.39730555132,0.368271910046,0.290801456921,0.166868697537,0.163345565938,0.252626848146,0.60653745154,0.63546102496,0.27513086199,0.474368593899
2.5,0.95,10,1000,0.800804006484,0.840908379213,0.811016540685,0.646468753592,0.361745838876,0.362738631903,0.555226256384,1.32531319007,1.40314457748,0.613689404675,1.0326487873
2.5,0.99,10,1000,4.34210042922,4.38355173319,4.35300834698,3.52545138163,1.92062147484,1.95405368233,2.97231179825,7.06377826399,7.55376597767,3.28513087956,5.54599464113
2.75,0.8,10,1000,0.103940970589,0.128018756726,0.105833333015,0.0945088749532,0.0308465997853,0.0661147216879,0.0806766263805,0.139613187371,0.168876093171,0.089020498425,0.125299716909
2.75,0.85,10,1000,0.158666405887,0.183618374504,0.160760880696,0.148430073613,0.0446671271079,0.101487530892,0.12087507101,0.207362001716,0.251498295703,0.136097344865,0.188872002836
2.75,0.9,10,1000,0.267887180994,0.293837533232,0.270254287361,0.257532892763,0.0725813466065,0.171518664221,0.200527784216,0.342294298588,0.416208711072,0.229883753162,0.315423535565
2.75,0.95,10,1000,0.59580978342,0.62290266865,0.59857371687,0.589124012476,0.157222924406,0.380302355646,0.438243425835,0.746292927088,0.909902082753,0.507628080572,0.696530225522
2.75,0.99,10,1000,3.22248010163,3.25059284391,3.22569422959,3.26024226542,0.839262391051,2.04632904777,2.3361172879,3.97610967875,4.859224367,2.74249990382,3.73138822656
3,0.8,10,1000,0.110452157458,0.181443282022,0.121788907895,0.0982915905305,0.0688249309545,0.0488212785463,0.0721870130054,0.164566472818,0.290242429247,0.0869308480593,0.167399159361
3,0.85,10,1000,0.174606897593,0.260301940516,0.188200131194,0.151502641147,0.106801844128,0.0760281908521,0.112699137157,0.257310632146,0.449952734622,0.13456908461,0.257796799202
3,0.9,10,1000,0.306445907801,0.416621696959,0.322371581129,0.261889189422,0.183290147768,0.133428635646,0.193219056537,0.455591153559,0.770405060836,0.229846388113,0.443166026302
3,0.95,10,1000,0.718627958017,0.883311657408,0.735418073611,0.601256028264,0.415827086185,0.334157916481,0.436170080922,1.11297377165,1.7343492115,0.52392052785,1.00760467354
3,0.99,10,1000,4.31558917284,4.60994952388,4.3543851835,4.06858334716,2.24455282013,2.42338923987,2.46660293614,7.06161346398,9.45518225112,3.20088099392,5.79763136361
3.25,0.8,10,1000,0.112255810527,0.153690181888,0.121038368699,0.100304498696,0.0570677982185,0.0675632788376,0.0726861523895,0.17838764709,0.257026365485,0.0918993187192,0.159973763908
3.25,0.85,10,1000,0.174752262712,0.220158958335,0.186675866814,0.154414993709,0.0925366655278,0.10339031223,0.11125711308,0.268529531064,0.415697627888,0.140115477289,0.247252091189
3.25,0.9,10,1000,0.301920766652,0.351961654615,0.317883749725,0.261705850451,0.16465787648,0.17454593051,0.188353339387,0.448056581728,0.735317840743,0.237845636722,0.425423963581
3.25,0.95,10,1000,0.690141710339,0.745519602047,0.711039942342,0.581964053666,0.382177525818,0.387234348982,0.419546996806,0.985069161414,1.69536667832,0.527962404055,0.961204112396
