run_id,lambda,target_acceptance,empirical_t0,paper_t0,used_count,downhill_fraction,mean_uphill_delta,observed_acceptance,status,track_file_name
11,1,0.8,0.0980701894799,0.110541401721,100,0.55,0.0649747618511,1,ok,track_csv/jasminum-remote/results/11.csv
11,1,0.85,0.147539391509,0.16024748012,100,0.55,0.0649747618511,1,ok,track_csv/jasminum-remote/results/11.csv
11,1,0.9,0.245626573098,0.258539719727,100,0.55,0.0649747618511,1,ok,track_csv/jasminum-remote/results/11.csv
11,1,0.95,0.538559332138,0.551647879416,100,0.55,0.0649747618511,1,ok,track_csv/jasminum-remote/results/11.csv
11,1,0.99,2.87804537574,2.89125522269,100,0.55,0.0649747618511,1,ok,track_csv/jasminum-remote/results/11.csv
12,1.25,0.8,0.05933463661,0.077792472531,100,0.49,0.0387280822537,1,ok,track_csv/jasminum-remote/results/12.csv
12,1.25,0.85,0.0917660057424,0.111189600691,100,0.49,0.0387280822537,1,ok,track_csv/jasminum-remote/results/12.csv
12,1.25,0.9,0.157155221945,0.177445358442,100,0.49,0.0387280822537,1,ok,track_csv/jasminum-remote/results/12.csv
12,1.25,0.95,0.354282298537,0.375329446306,100,0.49,0.0387280822537,1,ok,track_csv/jasminum-remote/results/12.csv
12,1.25,0.99,1.93413297879,1.95570424441,100,0.49,0.0387280822537,1,ok,track_csv/jasminum-remote/results/12.csv
13,1.5,0.8,0.0753013735865,0.0984024995297,100,0.55,0.0578396770166,1,ok,track_csv/jasminum-remote/results/13.csv
13,1.5,0.85,0.118708137675,0.142650195689,100,0.55,0.0578396770166,1,ok,track_csv/jasminum-remote/results/13.csv
13,1.5,0.9,0.205528715203,0.230148652476,100,0.55,0.0578396770166,1,ok,track_csv/jasminum-remote/results/13.csv
13,1.5,0.95,0.465914245943,0.491069674799,100,0.55,0.0578396770166,1,ok,track_csv/jasminum-remote/results/13.csv
13,1.5,0.99,2.54826007748,2.57375730959,100,0.55,0.0578396770166,1,ok,track_csv/jasminum-remote/results/13.csv
14,1.75,0.8,0.0424990739673,0.0593097761078,100,0.52,0.0319677617814,1,ok,track_csv/jasminum-remote/results/14.csv
14,1.75,0.85,0.0676927045803,0.0853171087699,100,0.52,0.0319677617814,1,ok,track_csv/jasminum-remote/results/14.csv
14,1.75,0.9,0.118525906424,0.136839595684,100,0.52,0.0319677617814,1,ok,track_csv/jasminum-remote/results/14.csv
14,1.75,0.95,0.271747894097,0.29061365109,100,0.52,0.0319677617814,1,ok,track_csv/jasminum-remote/results/14.csv
14,1.75,0.99,1.49919911704,1.51841259916,100,0.52,0.0319677617814,1,ok,track_csv/jasminum-remote/results/14.csv
15,2,0.8,0.0868261684861,0.104735808465,100,0.48,0.0508500536019,1,ok,track_csv/jasminum-remote/results/15.csv
15,2,0.85,0.131186514792,0.149415803077,100,0.48,0.0508500536019,1,ok,track_csv/jasminum-remote/results/15.csv
15,2,0.9,0.21956040348,0.238090918004,100,0.48,0.0508500536019,1,ok,track_csv/jasminum-remote/results/15.csv
15,2,0.95,0.484176001753,0.502987208367,100,0.48,0.0508500536019,1,ok,track_csv/jasminum-remote/results/15.csv
15,2,0.99,2.59967581965,2.61869547679,100,0.48,0.0508500536019,1,ok,track_csv/jasminum-remote/results/15.csv
16,1,0.8,0.0497119004783,0.0617176940332,100,0.5,0.0315269795519,1,ok,track_csv/jasminum-remote/results/16.csv
16,1,0.85,0.0760102813569,0.0883913492878,100,0.5,0.0315269795519,1,ok,track_csv/jasminum-remote/results/16.csv
16,1,0.9,0.128636966574,0.141285640415,100,0.5,0.0315269795519,1,ok,track_csv/jasminum-remote/results/16.csv
16,1,0.95,0.286397072146,0.299229548708,100,0.5,0.0315269795519,1,ok,track_csv/jasminum-remote/results/16.csv
16,1,0.99,1.54759875388,1.56053241065,100,0.5,0.0315269795519,1,ok,track_csv/jasminum-remote/results/16.csv
17,1.25,0.8,0.096486522999,0.105570782785,100,0.5,0.0539282609674,1,ok,track_csv/jasminum-remote/results/17.csv
17,1.25,0.85,0.142093852652,0.151197222804,100,0.5,0.0539282609674,1,ok,track_csv/jasminum-remote/results/17.csv
17,1.25,0.9,0.23255352213,0.241675193613,100,0.5,0.0539282609674,1,ok,track_csv/jasminum-remote/results/17.csv
17,1.25,0.95,0.502706120188,0.511845074321,100,0.5,0.0539282609674,1,ok,track_csv/jasminum-remote/results/17.csv
17,1.25,0.99,2.66020615085,2.6693581271,100,0.5,0.0539282609674,1,ok,track_csv/jasminum-remote/results/17.csv
18,1.5,0.8,0.0817855427099,0.0942965120568,100,0.5,0.0481690745904,1,ok,track_csv/jasminum-remote/results/18.csv
18,1.5,0.85,0.121631156083,0.135050346005,100,0.5,0.0481690745904,1,ok,track_csv/jasminum-remote/results/18.csv
18,1.5,0.9,0.201498717873,0.215865859922,100,0.5,0.0481690745904,1,ok,track_csv/jasminum-remote/results/18.csv
18,1.5,0.95,0.441852863834,0.45718336029,100,0.5,0.0481690745904,1,ok,track_csv/jasminum-remote/results/18.csv
18,1.5,0.99,2.36819486156,2.3842880973,100,0.5,0.0481690745904,1,ok,track_csv/jasminum-remote/results/18.csv
19,1.75,0.8,0.109101453172,0.143767835914,100,0.56,0.0871428327493,1,ok,track_csv/jasminum-remote/results/19.csv
19,1.75,0.85,0.174482541069,0.209028850819,100,0.56,0.0871428327493,1,ok,track_csv/jasminum-remote/results/19.csv
19,1.75,0.9,0.303651796211,0.337986788944,100,0.56,0.0871428327493,1,ok,track_csv/jasminum-remote/results/19.csv
19,1.75,0.95,0.688326887702,0.722409735476,100,0.56,0.0871428327493,1,ok,track_csv/jasminum-remote/results/19.csv
19,1.75,0.99,3.75667612506,3.79054627842,100,0.56,0.0871428327493,1,ok,track_csv/jasminum-remote/results/19.csv
20,2,0.8,0.0946456379097,0.119285889329,100,0.48,0.0579142315819,1,ok,track_csv/jasminum-remote/results/20.csv
20,2,0.85,0.145330216836,0.170172906584,100,0.48,0.0579142315819,1,ok,track_csv/jasminum-remote/results/20.csv
20,2,0.9,0.246234746892,0.271166922867,100,0.48,0.0579142315819,1,ok,track_csv/jasminum-remote/results/20.csv
20,2,0.95,0.547918761715,0.572863067091,100,0.48,0.0579142315819,1,ok,track_csv/jasminum-remote/results/20.csv
20,2,0.99,2.95757301227,2.98248921176,100,0.48,0.0579142315819,1,ok,track_csv/jasminum-remote/results/20.csv
21,1,0.8,0.193524761425,0.224538955283,100,0.51,0.117776176093,1,ok,track_csv/jasminum-remote/results/21.csv
21,1,0.85,0.290817124077,0.322268508424,100,0.51,0.117776176093,1,ok,track_csv/jasminum-remote/results/21.csv
21,1,0.9,0.484199970764,0.515976831856,100,0.51,0.117776176093,1,ok,track_csv/jasminum-remote/results/21.csv
21,1,0.95,1.06224410235,1.09426228089,100,0.51,0.117776176093,1,ok,track_csv/jasminum-remote/results/21.csv
21,1,0.99,5.67977758168,5.7119421702,100,0.51,0.117776176093,1,ok,track_csv/jasminum-remote/results/21.csv
22,1.25,0.8,0.0630984524099,0.0780497891803,100,0.49,0.0388561843699,1,ok,track_csv/jasminum-remote/results/22.csv
22,1.25,0.85,0.0964799099918,0.111557386089,100,0.49,0.0388561843699,1,ok,track_csv/jasminum-remote/results/22.csv
22,1.25,0.9,0.16287633414,0.178032300129,100,0.49,0.0388561843699,1,ok,track_csv/jasminum-remote/results/22.csv
22,1.25,0.95,0.361371593181,0.376570935519,100,0.49,0.0388561843699,1,ok,track_csv/jasminum-remote/results/22.csv
